r,g,b,h,s,v,c,m,y,k,hex,name
130,238,253,0.5203,0.4862,0.9922,0.4862,0.0593,0.0,0.0078,82EEFD,Arctic
64,224,208,0.4833,0.7143,0.8784,0.7143,0.0,0.0714,0.1216,40E0D0,Turquoise
70,130,180,0.5758,0.6111,0.7059,0.6111,0.2778,0.0,0.2941,4682B4,Steel
46,88,148,0.598,0.6892,0.5804,0.6892,0.4054,0.0,0.4196,2E5894,B’Dazzled
176,224,230,0.5185,0.2348,0.902,0.2348,0.0261,0.0,0.098,B0E0E6,Powder Blue
0,79,152,0.58,1.0,0.5961,1.0,0.4803,0.0,0.4039,004F98,Us Air Force Academy Blue
137,207,240,0.5534,0.4292,0.9412,0.4292,0.1375,0.0,0.0588,89CFF0,Baby Blue
188,212,230,0.5714,0.1826,0.902,0.1826,0.0783,0.0,0.098,BCD4E6,Beau Blue
108,160,220,0.5893,0.5091,0.8627,0.5091,0.2727,0.0,0.1373,6CA0DC,Little Boy Blue
129,216,208,0.4847,0.4028,0.8471,0.4028,0.0,0.037,0.1529,81D8D0,Tiffany Blue
75,156,211,0.5674,0.6445,0.8275,0.6445,0.2607,0.0,0.1725,4B9CD3,Carolina Blue
79,151,163,0.5238,0.5153,0.6392,0.5153,0.0736,0.0,0.3608,4F97A3,Turkish Blue
115,194,251,0.5699,0.5418,0.9843,0.5418,0.2271,0.0,0.0157,73C2FB,Maya Blue
100,149,237,0.6071,0.5781,0.9294,0.5781,0.3713,0.0,0.0706,6495ED,Cornflower Blue
18,97,128,0.547,0.8594,0.502,0.8594,0.2422,0.0,0.498,126180,Blue Sapphire
16,52,166,0.6267,0.9036,0.651,0.9036,0.6867,0.0,0.349,1034A6,Egyptian Blue
0,53,107,0.5841,1.0,0.4196,1.0,0.5047,0.0,0.5804,00356B,Yale Blue
29,41,81,0.6282,0.642,0.3176,0.642,0.4938,0.0,0.6824,1D2951,Space Cadet
0,90,146,0.5639,1.0,0.5725,1.0,0.3836,0.0,0.4275,005A92,Imperial Blue
118,171,223,0.5825,0.4709,0.8745,0.4709,0.2332,0.0,0.1255,76ABDF,Ruddy Blue
114,160,193,0.5696,0.4093,0.7569,0.4093,0.171,0.0,0.2431,72A0C1,Air Superiority Blue
107,202,226,0.5336,0.5265,0.8863,0.5265,0.1062,0.0,0.1137,6BCAE2,Aquamarine Blue
108,180,238,0.5744,0.5462,0.9333,0.5462,0.2437,0.0,0.0667,6CB4EE,Argentina Blue
0,45,98,0.5901,1.0,0.3843,1.0,0.5408,0.0,0.6157,002D62,Astros Navy
0,102,178,0.5712,1.0,0.698,1.0,0.427,0.0,0.302,0066B2,Bayern Blue
79,134,247,0.6121,0.6802,0.9686,0.6802,0.4575,0.0,0.0314,4F86F7,Berry Blue
80,114,167,0.6015,0.521,0.6549,0.521,0.3174,0.0,0.3451,5072A7,Blue Yonder
49,140,231,0.5833,0.7879,0.9059,0.7879,0.3939,0.0,0.0941,318CE7,Bleu De France
102,153,204,0.5833,0.5,0.8,0.5,0.25,0.0,0.2,6699CC,Blue-Gray
0,57,166,0.6094,1.0,0.651,1.0,0.6566,0.0,0.349,0039A6,Boeing Blue
19,39,79,0.6111,0.7595,0.3098,0.7595,0.5063,0.0,0.6902,13274F,Braves Navy
163,44,196,0.7971,0.7755,0.7686,0.1684,0.7755,0.0,0.2314,A32CC4,Purple
122,73,136,0.7963,0.4632,0.5333,0.1029,0.4632,0.0,0.4667,7A4988,Mauve
113,1,147,0.7945,0.9932,0.5765,0.2313,0.9932,0.0,0.4235,710193,Dark Violet
99,4,54,0.9123,0.9596,0.3882,0.0,0.9596,0.4545,0.6118,630436,Boysenberry
227,159,246,0.7969,0.3537,0.9647,0.0772,0.3537,0.0,0.0353,E39FF6,Electric Lavender
96,26,53,0.9357,0.7292,0.3765,0.0,0.7292,0.4479,0.6235,601A35,Plum
161,4,90,0.9087,0.9752,0.6314,0.0,0.9752,0.441,0.3686,A1045A,Strong Magenta
182,95,207,0.7961,0.5411,0.8118,0.1208,0.5411,0.0,0.1882,B65FCF,Deep Lilac
102,48,70,0.9321,0.5294,0.4,0.0,0.5294,0.3137,0.6,663046,Grape
190,147,212,0.7769,0.3066,0.8314,0.1038,0.3066,0.0,0.1686,BE93D4,Royal Periwinkle
77,15,40,0.9328,0.8052,0.302,0.0,0.8052,0.4805,0.698,4D0F28,Sangria Purple
49,20,50,0.8278,0.6,0.1961,0.02,0.6,0.0,0.8039,311432,Eggplant
103,3,47,0.9267,0.9709,0.4039,0.0,0.9709,0.5437,0.5961,67032F,Jazzberry Jam
152,103,197,0.7535,0.4772,0.7725,0.2284,0.4772,0.0,0.2275,9867C5,Iris
158,123,181,0.7672,0.3204,0.7098,0.1271,0.3204,0.0,0.2902,9E7BB5,Heather
164,94,229,0.7531,0.5895,0.898,0.2838,0.5895,0.0,0.102,A45EE5,Amethyst
41,9,22,0.9323,0.7805,0.1608,0.0,0.7805,0.4634,0.8392,290916,Raisin
175,105,239,0.7537,0.5607,0.9373,0.2678,0.5607,0.0,0.0627,AF69EF,Medium Orchid
76,1,33,0.9289,0.9868,0.298,0.0,0.9868,0.5658,0.702,4C0121,Dark Mulberry
44,4,28,0.9,0.9091,0.1725,0.0,0.9091,0.3636,0.8275,2C041C,Deep Wine
216,191,216,0.8333,0.1157,0.8471,0.0,0.1157,0.0,0.1529,D8BFD8,Thistle
218,112,214,0.8396,0.4862,0.8549,0.0,0.4862,0.0183,0.1451,DA70D6,Orchid
143,0,255,0.7601,1.0,1.0,0.4392,1.0,0.0,0.0,8F00FF,Electric Violet
147,112,219,0.7212,0.4886,0.8588,0.3288,0.4886,0.0,0.1412,9370DB,Medium Purple
153,50,204,0.7781,0.7549,0.8,0.25,0.7549,0.0,0.2,9932CC,Dark Orchid
